Date,Name,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+-
20221101,javonte green,Chicago Bulls,14:32,0,2,.000,0,0,0,0,0,0,1,1,2,0,0,0,0,2,0,-1.2,+8
20221101,tony bradley,Chicago Bulls,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221101,malcolm hill,Chicago Bulls,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221101,marko simonovic,Chicago Bulls,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221101,dalen terry,Chicago Bulls,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221101,kevin durant,Brooklyn Nets,37:59,9,16,.563,2,4,.500,12,12,1.000,0,9,9,6,1,2,7,3,32,25.5,-7
20221101,nic claxton,Brooklyn Nets,34:35,4,4,1.000,0,0,0,2,4,.500,0,10,10,2,0,1,3,2,10,9.3,-4
20221101,royce o'neale,Brooklyn Nets,33:42,8,12,.667,4,6,.667,0,0,0,2,3,5,3,1,0,1,3,20,18.0,-11
20221101,kyrie irving,Brooklyn Nets,32:46,2,12,.167,0,6,.000,0,0,0,0,6,6,7,0,1,3,4,4,-0.8,-14
20221101,joe harris,Brooklyn Nets,21:13,3,8,.375,2,7,.286,0,2,.000,0,2,2,2,0,0,1,1,8,3.4,-4
20221101,yuta watanabe,Brooklyn Nets,27:48,4,6,.667,2,3,.667,0,0,0,2,2,4,0,0,2,0,0,10,10.8,-12
20221101,edmond sumner,Brooklyn Nets,21:58,2,6,.333,0,1,.000,0,0,0,0,1,1,5,0,1,1,2,4,3.3,+1
20221101,david duke jr.,Brooklyn Nets,18:42,1,4,.250,0,1,.000,0,0,0,0,0,0,2,2,0,2,2,2,0.2,+6
20221101,patty mills,Brooklyn Nets,9:39,3,6,.500,2,4,.500,1,1,1.000,0,1,1,0,0,0,0,3,9,5.1,-4
20221101,kessler edwards,Brooklyn Nets,0:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,+2
20221101,cam thomas,Brooklyn Nets,0:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,+2
20221101,markieff morris,Brooklyn Nets,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221101,day'ron sharpe,Brooklyn Nets,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
20221201,luka doncic,Dallas Mavericks,41:02,13,25,.520,7,14,.500,2,6,.333,0,5,5,10,3,0,3,3,35,28.4,-13
20221201,tim hardaway jr.,Dallas Mavericks,40:14,9,20,.450,6,14,.429,2,4,.500,2,3,5,2,2,1,0,4,26,19.6,0
20221201,dorian finney-smith,Dallas Mavericks,31:46,2,5,.400,2,4,.500,0,0,0,0,2,2,2,1,0,1,2,6,4.5,-9
