URL,Error
{'https://www.basketball-reference.com/boxscores/202211150SAC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211160CHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211160ORL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211160WAS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211160ATL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211160TOR.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211160MIL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211160NOP.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211160DAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211160DEN.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211160PHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211170POR.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211170SAC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211170LAC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211180WAS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211180CLE.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211180PHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211180CHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211180HOU.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211180MEM.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211180DAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211180NOP.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211180UTA.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211180GSW.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211180LAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211190ATL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211190IND.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211190PHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211190POR.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211190LAC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211200PHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211200SAC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211200WAS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211200BRK.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211200CLE.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211200HOU.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211200DAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211200LAL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211210CLE.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211210IND.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211210CHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211210MIL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211210MIN.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211210NOP.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211210OKC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211210LAC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211220PHI.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211220MEM.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211220DEN.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211220PHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211230CHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211230CLE.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211230IND.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211230ATL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211230BOS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211230MIA.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211230TOR.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211230MIL.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211230OKC.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211230SAS.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211230UTA.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211230GSW.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211250CHO.html'},'NoneType' object has no attribute 'text'
{'https://www.basketball-reference.com/boxscores/202211250ORL.html'},'NoneType' object has no attribute 'text'
